,GEO_ID,NAME,Num_HH,Med_Inc_HH
180,1400000US17031150402,"Census Tract 1504.02, Cook County, Illinois",1320,46563
181,1400000US17031150501,"Census Tract 1505.01, Cook County, Illinois",1334,69573
182,1400000US17031150502,"Census Tract 1505.02, Cook County, Illinois",1574,48704
183,1400000US17031150600,"Census Tract 1506, Cook County, Illinois",1294,59656
184,1400000US17031150700,"Census Tract 1507, Cook County, Illinois",1417,58194
185,1400000US17031150800,"Census Tract 1508, Cook County, Illinois",1820,57031
186,1400000US17031151001,"Census Tract 1510.01, Cook County, Illinois",957,40222
187,1400000US17031151002,"Census Tract 1510.02, Cook County, Illinois",1709,47625
188,1400000US17031151100,"Census Tract 1511, Cook County, Illinois",1636,38313
189,1400000US17031151200,"Census Tract 1512, Cook County, Illinois",1245,58811
190,1400000US17031160100,"Census Tract 1601, Cook County, Illinois",978,53107
191,1400000US17031160200,"Census Tract 1602, Cook County, Illinois",1407,62026
192,1400000US17031160300,"Census Tract 1603, Cook County, Illinois",1743,39915
193,1400000US17031160400,"Census Tract 1604, Cook County, Illinois",1930,50884
194,1400000US17031160501,"Census Tract 1605.01, Cook County, Illinois",1183,40096
195,1400000US17031160502,"Census Tract 1605.02, Cook County, Illinois",1241,52375
196,1400000US17031160601,"Census Tract 1606.01, Cook County, Illinois",1289,50511
197,1400000US17031160602,"Census Tract 1606.02, Cook County, Illinois",1454,61579
198,1400000US17031160700,"Census Tract 1607, Cook County, Illinois",1985,67583
199,1400000US17031160800,"Census Tract 1608, Cook County, Illinois",1817,45087
200,1400000US17031160900,"Census Tract 1609, Cook County, Illinois",1005,61563
201,1400000US17031161000,"Census Tract 1610, Cook County, Illinois",784,56286
202,1400000US17031161100,"Census Tract 1611, Cook County, Illinois",751,101563
203,1400000US17031161200,"Census Tract 1612, Cook County, Illinois",915,65838
204,1400000US17031161300,"Census Tract 1613, Cook County, Illinois",1512,47143
