GEO_ID,NAME,Num_HH,Med_Inc_HH
1400000US17031140601,"Census Tract 1406.01, Cook County, Illinois",907,45817
1400000US17031140602,"Census Tract 1406.02, Cook County, Illinois",1658,39009
1400000US17031140701,"Census Tract 1407.01, Cook County, Illinois",866,42366
1400000US17031140702,"Census Tract 1407.02, Cook County, Illinois",1941,38850
1400000US17031140800,"Census Tract 1408, Cook County, Illinois",2728,62375
1400000US17031150200,"Census Tract 1502, Cook County, Illinois",3034,46425
1400000US17031150300,"Census Tract 1503, Cook County, Illinois",2761,51215
1400000US17031150401,"Census Tract 1504.01, Cook County, Illinois",1808,54375
1400000US17031150402,"Census Tract 1504.02, Cook County, Illinois",1320,46563
1400000US17031150501,"Census Tract 1505.01, Cook County, Illinois",1334,69573
1400000US17031150502,"Census Tract 1505.02, Cook County, Illinois",1574,48704
1400000US17031150600,"Census Tract 1506, Cook County, Illinois",1294,59656
1400000US17031150700,"Census Tract 1507, Cook County, Illinois",1417,58194
1400000US17031150800,"Census Tract 1508, Cook County, Illinois",1820,57031
1400000US17031151001,"Census Tract 1510.01, Cook County, Illinois",957,40222
1400000US17031151002,"Census Tract 1510.02, Cook County, Illinois",1709,47625
1400000US17031151100,"Census Tract 1511, Cook County, Illinois",1636,38313
1400000US17031151200,"Census Tract 1512, Cook County, Illinois",1245,58811
1400000US17031160100,"Census Tract 1601, Cook County, Illinois",978,53107
1400000US17031160200,"Census Tract 1602, Cook County, Illinois",1407,62026
1400000US17031160300,"Census Tract 1603, Cook County, Illinois",1743,39915
1400000US17031160400,"Census Tract 1604, Cook County, Illinois",1930,50884
1400000US17031160501,"Census Tract 1605.01, Cook County, Illinois",1183,40096
1400000US17031160502,"Census Tract 1605.02, Cook County, Illinois",1241,52375
1400000US17031160601,"Census Tract 1606.01, Cook County, Illinois",1289,50511
1400000US17031160602,"Census Tract 1606.02, Cook County, Illinois",1454,61579
1400000US17031160700,"Census Tract 1607, Cook County, Illinois",1985,67583
1400000US17031160800,"Census Tract 1608, Cook County, Illinois",1817,45087
1400000US17031160900,"Census Tract 1609, Cook County, Illinois",1005,61563
1400000US17031161000,"Census Tract 1610, Cook County, Illinois",784,56286
1400000US17031161100,"Census Tract 1611, Cook County, Illinois",751,101563
1400000US17031161200,"Census Tract 1612, Cook County, Illinois",915,65838
1400000US17031161300,"Census Tract 1613, Cook County, Illinois",1512,47143
1400000US17031170100,"Census Tract 1701, Cook County, Illinois",1055,44476
1400000US17031170200,"Census Tract 1702, Cook County, Illinois",1170,58176
1400000US17031170300,"Census Tract 1703, Cook County, Illinois",1956,60852
1400000US17031170400,"Census Tract 1704, Cook County, Illinois",1398,73621
1400000US17031170500,"Census Tract 1705, Cook County, Illinois",1897,72326
1400000US17031170600,"Census Tract 1706, Cook County, Illinois",962,70758
1400000US17031170700,"Census Tract 1707, Cook County, Illinois",1060,73021
1400000US17031170800,"Census Tract 1708, Cook County, Illinois",1363,61504
1400000US17031170900,"Census Tract 1709, Cook County, Illinois",618,57586
1400000US17031171000,"Census Tract 1710, Cook County, Illinois",2622,51800
1400000US17031171100,"Census Tract 1711, Cook County, Illinois",1296,58250
1400000US17031180100,"Census Tract 1801, Cook County, Illinois",2091,58425
1400000US17031190100,"Census Tract 1901, Cook County, Illinois",798,34583
1400000US17031190200,"Census Tract 1902, Cook County, Illinois",1637,41829
1400000US17031190300,"Census Tract 1903, Cook County, Illinois",1849,45174
1400000US17031190401,"Census Tract 1904.01, Cook County, Illinois",1288,51715
1400000US17031190402,"Census Tract 1904.02, Cook County, Illinois",1635,40528
1400000US17031190601,"Census Tract 1906.01, Cook County, Illinois",1248,56202
